image_path,split,bbox_x,bbox_y,bbox_w,bbox_h,category,sleeve_length,sleeve_shape,upper_length,lower_length,neckline,collar,upper_fit,lower_fit,silhouette,pattern,material,detail
images/91191384_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,프릴·러플
images/91191864_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91192398_0.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴|레이스,레이스
images/91192519_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91193053_0.jpeg,train,,,,,블라우스,,,,,,,,,,체크,울,
images/91194504_0.jpeg,train,,,,,블라우스,민소매,,,,,,,,,플로럴,,
images/91195976_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91196163_0.jpeg,train,,,,,블라우스,,,,,,,,,,,코튼,
images/91198587_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91199622_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91199655_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91200284_0.jpeg,train,,,,,블라우스,긴팔,,,,,,,,,체크,,
images/91200920_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91202544_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91202986_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,프릴·러플
images/91204925_0.jpeg,train,,,,,블라우스,,,,,,,오버핏,,,,레이스,레이스
images/91205540_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91206392_0.jpeg,val,,,,,블라우스,,,,,,,,,,플로럴,레이스,레이스
images/91209185_0.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰,
images/91210005_2.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91212075_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91212662_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91214889_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91215272_0.jpeg,train,,,,,블라우스,,,,,,,,,,,울,자수
images/91215410_0.jpeg,val,,,,,블라우스,,,,,,,,,,,시폰|실크·새틴,
images/91215515_0.jpeg,train,,,,,블라우스,,,,,,,,,,,울,
images/91216124_0.jpeg,train,,,,,블라우스,민소매,,,,,,,,,체크,실크·새틴,
images/91216131_0.jpeg,val,,,,,블라우스,민소매,,,,V넥,,,,,,,프릴·러플
images/91216719_0.jpeg,train,,,,,블라우스,,,,,,,,,,,데님,
images/91217043_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91217121_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91217162_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91217469_0.jpeg,train,,,,,블라우스,,,크롭 기장,,,,,,,,,
images/91217855_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91217860_0.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91218173_0.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰|실크·새틴,
images/91218349_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91219451_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91220541_1.jpeg,val,,,,,블라우스,,,,,,,,,,,울|실크·새틴,
images/91221322_0.jpeg,val,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91222300_0.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰|실크·새틴,
images/91222961_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91223130_0.jpeg,val,,,,,블라우스,,,,,,,,,,,시폰,
images/91223660_0.jpeg,train,,,,,폴로 셔츠,반팔,,,,,폴로 칼라,,,,,,
images/91224972_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91225505_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91226224_0.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰,
images/91229535_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91230303_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91230448_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91231190_0.jpeg,val,,,,,블라우스,,,,,,,,,,플로럴,,
images/91232657_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91233364_1.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91233493_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91235634_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91235676_0.jpeg,train,,,,,블라우스,긴팔,,,,,,,,,,메시,
images/91236787_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91236850_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91237224_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91238053_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91238393_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,자수
images/91238859_0.jpeg,train,,,,,블라우스,,,롱 기장,,,,,,,,실크·새틴,
images/91240328_0.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91240629_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91241315_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91241520_0.jpeg,val,,,,,블라우스,,,롱 기장,,,,,,,플로럴,실크·새틴,
images/91243357_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,자수
images/91243717_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91244029_1.jpeg,train,,,,,블라우스,,,,,오프숄더,,,,,,,
images/91244234_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,자수
images/91244847_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91244870_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91245101_0.jpeg,val,,,,,블라우스,,,,,오프숄더,,,,,,,
images/91245852_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91245956_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91247706_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,자수
images/91247746_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91248500_1.jpeg,train,,,,,블라우스,,,,,,,,,,플로럴,,
images/91249137_0.jpeg,val,,,,,블라우스,,,,,,,,,,,메시,
images/91249770_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91250489_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91250663_0.jpeg,train,,,,,블라우스,,,롱 기장,,,,,,,,,포켓
images/91251173_0.jpeg,val,,,,,블라우스,,,,,,,,,,,울,
images/91252607_1.jpeg,train,,,,,블라우스,,,,,,,,,,,,리본
images/91253558_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,자수|레이스
images/91253700_0.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91254119_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91254406_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91254486_0.jpeg,val,,,,,블라우스,민소매,,,,,,,,,체크,,
images/91254604_0.jpeg,val,,,,,블라우스,반팔,,,,,,,,,,,
images/91254827_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91255905_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91255958_0.jpeg,train,,,,,블라우스,,,크롭 기장,,,,,,,,,
images/91256534_0.jpeg,train,,,,,블라우스,,,,,V넥,,,,,,실크·새틴,
images/91256937_0.jpeg,train,,,,,블라우스,민소매,,,,,,,,,,,
images/91258127_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91258175_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91259434_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91259669_0.jpeg,val,,,,,블라우스,긴팔,,,,,,,,,,,포켓
images/91259829_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,자수
images/91259972_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91260327_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91260506_3.jpeg,train,,,,,블라우스,,,크롭 기장,,,,,,,,,프릴·러플
images/91261312_0.jpeg,train,,,,,블라우스,,,,,,,,,,도트,,
images/91262400_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91262765_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91263161_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91263986_1.jpeg,train,,,,,블라우스,,,,,,,오버핏,,,,실크·새틴,
images/91264177_0.jpeg,val,,,,,블라우스,,,,,,,,,,,울|레이스,레이스
images/91264627_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91265940_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91268876_0.jpeg,val,,,,,블라우스,,,,,,,,,,체크,,
images/91269362_0.jpeg,train,,,,,블라우스,,,,,,,,,,,스웨이드,
images/91269538_0.jpeg,train,,,,,블라우스,민소매,,,,,,,,,,,자수
images/91269717_1.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,프릴·러플
images/91269996_1.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91270235_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91271367_0.jpeg,train,,,,,폴로 셔츠,,,,,,폴로 칼라,,,,,,
images/91272486_1.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰,
images/91273900_0.jpeg,train,,,,,블라우스,,,,,,,,,,플로럴,,
images/91274833_1.jpeg,train,,,,,블라우스,,,,,,,,,,,,리본
images/91275355_0.jpeg,val,,,,,블라우스,,,롱 기장,,,,,,,,,리본
images/91276720_0.jpeg,train,,,,,블라우스,,,,,,,,,,도트,,
images/91277625_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91278089_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91278695_0.jpeg,train,,,,,블라우스,,,,,,,,,,,코튼,
images/91279378_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91279652_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91281349_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91281765_0.jpeg,val,,,,,블라우스,긴팔,,,,,,,,,,코튼,
images/91283666_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91285042_0.jpeg,val,,,,,블라우스,,,,,,,,,,,시폰,리본
images/91286521_0.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰,
images/91287058_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91287553_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91289353_0.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰,자수
images/91289540_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91289550_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91289577_0.jpeg,train,,,,,블라우스,,,,,,,,,,,스웨이드,
images/91289597_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,프릴·러플
images/91290318_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,자수
images/91290814_0.jpeg,train,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91290847_0.jpeg,train,,,,,블라우스,,,롱 기장,,,,,,,,스웨이드,
images/91290937_0.jpeg,train,,,,,블라우스,,,,,,,,,,컬러 블록,실크·새틴|레이스,레이스
images/91290971_0.jpeg,train,,,,,블라우스,,,,,,,,,,플로럴,,
images/91291016_0.jpeg,train,,,,,블라우스,,,,,,,,,,,시폰,
images/91291190_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91291550_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91291587_0.jpeg,train,,,,,블라우스,긴팔,,,,,,,,,,,
images/91291714_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91292155_0.jpeg,val,,,,,블라우스,,,,,,,,,,,,
images/91292743_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91294539_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91295480_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91295895_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91295953_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91297175_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴|레이스,프릴·러플|레이스
images/91298210_0.jpeg,val,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91298954_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91299146_0.jpeg,train,,,,,블라우스,민소매,,,,,,,,,,시폰,
images/91299195_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91299956_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91300454_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91302659_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,프릴·러플
images/91302756_0.jpeg,val,,,,,블라우스,,,,,,,,,,,레이스,레이스
images/91305412_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,자수
images/91306086_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91306342_0.jpeg,train,,,,,블라우스,,,,,V넥,,,,,,,
images/91307183_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91307923_0.jpeg,val,,,,,블라우스,,,,,,,,,,,니트,
images/91308789_0.jpeg,val,,,,,블라우스,긴팔,,,,V넥,,,,,,,
images/91309703_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91310326_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91311534_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91312038_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91315019_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91315253_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91315418_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,
images/91315821_0.jpeg,train,,,,,블라우스,,,,,,,,,,,,자수
images/91316327_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91316446_0.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91318143_0.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91321533_0.jpeg,val,,,,,블라우스,,,,,,,,,,,실크·새틴,
images/91322160_1.jpeg,train,,,,,블라우스,,,,,,,,,,,실크·새틴,
