image_path,split,bbox_x,bbox_y,bbox_w,bbox_h,category,sleeve_length,sleeve_shape,upper_length,lower_length,neckline,collar,upper_fit,lower_fit,silhouette,pattern,material,detail
images/99601fa457d157b81154d089966c2e3a.jpg,val,392.0,407.0,241.0,274.0,코트,긴팔,기본 소매,,,,,레귤러핏,,,무지,,지퍼|후드
images/0309e132bc5fbc75f977005b2d4a79e3.jpg,train,58.0,183.0,323.0,632.0,코트,긴팔,,,,,,레귤러핏,,,무지,퍼·플리스,
images/0309e132bc5fbc75f977005b2d4a79e3.jpg,train,164.0,250.0,127.0,653.0,점프수트,,,,롱·긴바지 기장,,,,,,,,
images/bfabcacd46568489e6ae0d4952ecccf9.jpg,train,228.0,444.0,185.0,476.0,팬츠,,,,롱·긴바지 기장,,,,슬림핏,,무지,,
images/bfabcacd46568489e6ae0d4952ecccf9.jpg,train,138.0,144.0,365.0,612.0,코트,7부 소매,,,,,라펠 칼라,여유핏,,,무지,,
images/bfabcacd46568489e6ae0d4952ecccf9.jpg,train,259.0,307.0,197.0,141.0,티셔츠,긴팔,,크롭 기장,,,,레귤러핏,,,무지,,
images/c2d80480b743d45143725a5c223c16d9.jpg,train,93.0,389.0,473.0,631.0,스커트,,,,롱·긴바지 기장,,,,,,무지,,지퍼
images/c2d80480b743d45143725a5c223c16d9.jpg,train,224.0,213.0,457.0,319.0,티셔츠,긴팔,기본 소매,크롭 기장,,,,슬림핏,,,플로럴,,
images/d67ad10df9224b51361c9dfb18f5a9ef.jpg,train,170.0,529.0,214.0,389.0,팬츠,,,,롱·긴바지 기장,,,,,,무지,,
images/d67ad10df9224b51361c9dfb18f5a9ef.jpg,train,97.0,162.0,336.0,400.0,셔츠,긴팔,벌룬 소매,기본 기장,,,셔츠 칼라,레귤러핏,,,카모,,단추
images/d67ad10df9224b51361c9dfb18f5a9ef.jpg,train,164.0,179.0,215.0,378.0,베스트,,,크롭 기장,,,라펠 칼라,레귤러핏,,,무지,,단추
images/2e783ef225f6afd2c16ceac5482d955c.jpg,train,467.0,207.0,90.0,133.0,티셔츠,반팔,기본 소매,기본 기장,,,,슬림핏,,,무지,,
images/2e783ef225f6afd2c16ceac5482d955c.jpg,train,452.0,330.0,147.0,226.0,팬츠,,,,롱·긴바지 기장,,,,슬림핏,,무지,,
images/c47f02a61808cde22c26d21fb035da83.jpg,train,74.0,182.0,507.0,693.0,원피스,긴팔,기본 소매,,롱·긴바지 기장,,,,,A라인,플로럴,,지퍼|프릴·러플
images/4454d33644695b5b14cffba84ceb8066.jpg,train,204.0,628.0,122.0,284.0,팬츠,,,,롱·긴바지 기장,,,,슬림핏,,무지,,
images/4454d33644695b5b14cffba84ceb8066.jpg,train,141.0,155.0,256.0,503.0,원피스,긴팔,기본 소매,,쇼츠·미니 기장,터틀넥,,,,,무지,,지퍼
images/5fc499c60fc95671180347cf63b6f31a.jpg,val,237.0,215.0,186.0,280.0,탑,,,기본 기장,,,,슬림핏,,,무지,,
images/5fc499c60fc95671180347cf63b6f31a.jpg,val,237.0,457.0,185.0,426.0,청바지,,,,롱·긴바지 기장,,,,슬림핏,,무지,데님,
images/790cc5b2e3f130e9f45cde050b74c055.jpg,train,478.0,163.0,99.0,239.0,셔츠,,,,,,스탠드 칼라,레귤러핏,,,무지,,단추
images/790cc5b2e3f130e9f45cde050b74c055.jpg,train,395.0,180.0,249.0,388.0,가디건,긴팔,기본 소매,,,,,여유핏,,,무지,니트,단추|포켓
images/790cc5b2e3f130e9f45cde050b74c055.jpg,train,342.0,398.0,256.0,552.0,청바지,,,,롱·긴바지 기장,,,,,,무지,데님,
images/5b7dfd2d006e7f0dd2bd673dd009d413.jpg,train,170.0,240.0,258.0,345.0,점프수트,긴팔,기본 소매,,쇼츠·미니 기장,,라펠 칼라,슬림핏,,,무지,,
images/c091531b2b5cb6a6c8ad2ce197d530f4.jpg,train,522.0,122.0,340.0,364.0,원피스,,,,미디·7부 기장,스퀘어넥,,,,X라인,무지,,지퍼|프릴·러플
images/7f7cbaa6ea88b24f0e81c06355b380dc.jpg,train,217.0,169.0,263.0,466.0,원피스,긴팔,벨 소매,,쇼츠·미니 기장,,,,,A라인,무지,,
images/6c8834c6e3dfa2b294971d118eb505e8.jpg,val,116.0,273.0,582.0,749.0,원피스,,벨 소매,,롱·긴바지 기장,,,,,H라인,무지,,지퍼
images/76865174d4c6dd61ba58e6ed3413295f.jpg,val,152.0,189.0,289.0,318.0,원피스,긴팔,기본 소매,,,,,,,H라인,무지,,
images/dad3059af72872890ea3be6112567861.jpg,train,453.0,273.0,154.0,399.0,원피스,,,,,,,,,,그래픽,,지퍼
images/98bc03e3db325b0031a15378e3f1e7e8.jpg,train,245.0,170.0,224.0,452.0,원피스,긴팔,,,쇼츠·미니 기장,,셔츠 칼라,,,H라인,도트,,벨트
images/25fb92c0d8ca2d4d159bfcd674b484d8.jpg,train,388.0,207.0,292.0,466.0,티셔츠,반팔,기본 소매,크롭 기장,,,,여유핏,,,무지,,
images/9466c1ebff0cc438549ceae3e46a14f5.jpg,train,624.0,356.0,118.0,315.0,티셔츠,,,기본 기장,,V넥,,슬림핏,,,,,
images/9466c1ebff0cc438549ceae3e46a14f5.jpg,train,483.0,302.0,402.0,379.0,블레이저,긴팔,기본 소매,,,,라펠 칼라,레귤러핏,,,무지,,단추|지퍼
images/0544acba02e8776a56fde74f83633c21.jpg,train,332.0,353.0,85.0,37.0,쇼츠,,,,쇼츠·미니 기장,,,,,,무지,,
images/0544acba02e8776a56fde74f83633c21.jpg,train,317.0,204.0,132.0,161.0,블레이저,7부 소매,벨 소매,크롭 기장,,,,레귤러핏,,,무지,,
images/0544acba02e8776a56fde74f83633c21.jpg,train,337.0,211.0,87.0,156.0,탑,,,기본 기장,,라운드넥,,여유핏,,,,,
images/473ca12a9a40ada656994abef67bf900.jpg,train,248.0,381.0,200.0,283.0,스커트,,,,쇼츠·미니 기장,,,,,비대칭,무지,,지퍼
