image_path,split,bbox_x,bbox_y,bbox_w,bbox_h,category,lower_subtype,pant_leg_shape,pant_length,lower_detail,sleeve_length,sleeve_shape,upper_length,lower_length,neckline,collar,upper_fit,lower_fit,silhouette,pattern,material,detail
images/7824a48baef96a8c6a479d1bfaa656e0.jpg,train,503.0,266.0,233.0,336.0,코트,,,,,긴팔,기본 소매,,,,,레귤러핏,,,무지,,지퍼|포켓|후드|벨트
images/7824a48baef96a8c6a479d1bfaa656e0.jpg,train,572.0,282.0,100.0,245.0,티셔츠,,,,,,,크롭 기장,,,,레귤러핏,,,무지,,
images/019cac91e7586f6dfd6a2b8e79cabcad.jpg,train,215.0,165.0,263.0,438.0,원피스,,,,,반팔,퍼프 소매,,쇼츠·미니 기장,,셔츠 칼라,,,X라인,무지,,
images/beb5043902e64ae055c6c3b29a67d84d.jpg,train,258.0,283.0,138.0,297.0,폴로 셔츠,,,,,,,기본 기장,,,폴로 칼라,레귤러핏,,,무지,,포켓
images/beb5043902e64ae055c6c3b29a67d84d.jpg,train,217.0,294.0,241.0,320.0,재킷,,,,,긴팔,기본 소매,크롭 기장,,,,레귤러핏,,,무지,,지퍼|포켓
images/beb5043902e64ae055c6c3b29a67d84d.jpg,train,255.0,574.0,168.0,367.0,청바지,,,,,,,,롱·긴바지 기장,,,,스트레이트핏,H라인,무지,데님,포켓
images/3b64f497c10abb82333e82fb2a7261d6.jpg,train,202.0,171.0,159.0,555.0,원피스,,,,,,,,쇼츠·미니 기장,,,,,H라인,무지,,벨트
images/3b64f497c10abb82333e82fb2a7261d6.jpg,train,57.0,159.0,418.0,671.0,코트,,,,,긴팔,기본 소매,,,,라펠 칼라,레귤러핏,,,무지,퍼·플리스,
images/a3b1bfa806264afd7d83b2b507e74946.jpg,train,194.0,513.0,134.0,335.0,청바지,,,,,,,,롱·긴바지 기장,,,,스트레이트핏,H라인,무지,데님,
images/a3b1bfa806264afd7d83b2b507e74946.jpg,train,309.0,286.0,37.0,229.0,티셔츠,,,,,,,크롭 기장,,,,레귤러핏,,,무지,,
images/a3b1bfa806264afd7d83b2b507e74946.jpg,train,123.0,156.0,261.0,480.0,코트,,,,,긴팔,기본 소매,,,,,레귤러핏,,,무지,퍼·플리스,단추|지퍼|포켓|후드
images/9766f8350a453fc2fff58b9cfcf2f536.jpg,val_train_split,167.0,503.0,127.0,151.0,쇼츠,,,,,,,,쇼츠·미니 기장,,,,,,무지,,포켓
images/9766f8350a453fc2fff58b9cfcf2f536.jpg,val_train_split,197.0,336.0,73.0,177.0,티셔츠,,,,,,,크롭 기장,,라운드넥,,레귤러핏,,,무지,,
images/9766f8350a453fc2fff58b9cfcf2f536.jpg,val_train_split,126.0,334.0,200.0,224.0,블레이저,,,,,긴팔,기본 소매,기본 기장,,,라펠 칼라,레귤러핏,,,무지,,단추|포켓
images/1feec2aeb81d3d2087e8abe39877e0cd.jpg,val_train_split,251.0,260.0,150.0,192.0,탑,,,,,,,크롭 기장,,스퀘어넥,,슬림핏,,,,,
images/1feec2aeb81d3d2087e8abe39877e0cd.jpg,val_train_split,270.0,442.0,209.0,442.0,스커트,,,,,,,,롱·긴바지 기장,,,,,비대칭,,,지퍼
images/63377095a9532115650f8088ab35ed83.jpg,val_train_split,18.0,247.0,487.0,774.0,코트,,,,,긴팔,기본 소매,,,,셔츠 칼라,레귤러핏,,,도트,,단추
images/63377095a9532115650f8088ab35ed83.jpg,val_train_split,88.0,571.0,333.0,450.0,스커트,,,,,,,,쇼츠·미니 기장,,,,,,도트,,지퍼|벨트
images/63377095a9532115650f8088ab35ed83.jpg,val_train_split,102.0,342.0,383.0,419.0,티셔츠,,,,,,,크롭 기장,,,,레귤러핏,,,도트,,
images/971179a18eb960d1f60be401c58d0db7.jpg,train,215.0,116.0,355.0,501.0,코트,,,,,긴팔,기본 소매,,,,라펠 칼라,레귤러핏,,,무지,퍼·플리스,포켓
images/971179a18eb960d1f60be401c58d0db7.jpg,train,292.0,607.0,135.0,248.0,팬츠,,,,,,,,롱·긴바지 기장,,,,스트레이트핏,H라인,무지,,
images/5105c639dbb3ab793ecbdc013a093e84.jpg,train,397.0,175.0,121.0,315.0,원피스,,,,,,,,미디·7부 기장,,,,,H라인,애니멀,,플리츠
images/c08b78c9381d3e6c7c4789458a4180ba.jpg,val_train_split,277.0,703.0,65.0,141.0,쇼츠,,,,,,,,쇼츠·미니 기장,,,,,,무지,,
images/c08b78c9381d3e6c7c4789458a4180ba.jpg,val_train_split,277.0,276.0,101.0,430.0,티셔츠,,,,,,,기본 기장,,라운드넥,,레귤러핏,,,무지,,
images/c08b78c9381d3e6c7c4789458a4180ba.jpg,val_train_split,101.0,217.0,480.0,647.0,코트,,,,,긴팔,,,,,,여유핏,,,무지,,단추
images/f960442bb1de95316c88f5dad0451bfb.jpg,train,199.0,536.0,366.0,306.0,티셔츠,,,,,반팔,,크롭 기장,,,셔츠 칼라,여유핏,,,그래픽,,
images/92080c0ec2a711a1d22a3e5f983e326c.jpg,train,194.0,185.0,286.0,479.0,원피스,,,,,반팔,벨 소매,,쇼츠·미니 기장,,셔츠 칼라,,,A라인,무지,,단추|리본
images/028257618ac3205ec643ebbe83e4e20b.jpg,val_train_split,247.0,229.0,244.0,374.0,원피스,,,,,긴팔,기본 소매,,쇼츠·미니 기장,,,,,H라인,무지,퍼·플리스,지퍼
images/e6124b8e84e66112e1576f40d44415fe.jpg,train,257.0,256.0,165.0,333.0,원피스,,,,,,,,쇼츠·미니 기장,,칼라 없음,,,,무지,,
images/9f9043b8e4cbab67b5cc651ca0e67587.jpg,train,213.0,218.0,180.0,694.0,원피스,,,,,,,,롱·긴바지 기장,,칼라 없음,,,,무지,,스팽글|지퍼
images/ec75da7bce977ab4b2d77224ad0ed08d.jpg,train,206.0,274.0,291.0,720.0,후드티,,,,,,,,,,셔츠 칼라,레귤러핏,,,무지,,후드|포켓
images/ec75da7bce977ab4b2d77224ad0ed08d.jpg,train,150.0,473.0,439.0,484.0,재킷,,,,,긴팔,,크롭 기장,,,,,,,무지,,단추|포켓
images/ec75da7bce977ab4b2d77224ad0ed08d.jpg,train,210.0,937.0,270.0,86.0,팬츠,,,,,,,,,,,,,,무지,,
images/5adcbeee334012236203092c92c867ec.jpg,train,182.0,172.0,226.0,539.0,원피스,,,,,반팔,퍼프 소매,,쇼츠·미니 기장,,,,,,무지,,지퍼|리본
images/a0eabcc7657a7799a2e1cf1f129461fc.jpg,train,329.0,322.0,24.0,60.0,티셔츠,,,,,,,,,,,슬림핏,,,,,
images/a0eabcc7657a7799a2e1cf1f129461fc.jpg,train,216.0,254.0,313.0,694.0,점프수트,,,,,긴팔,기본 소매,,롱·긴바지 기장,,,,,,,,지퍼
images/bb6686f125c97a6ecb8ac9b44b66733d.jpg,train,174.0,368.0,285.0,283.0,탑,,,,,,,크롭 기장,,,,슬림핏,,,스트라이프,,
images/bb6686f125c97a6ecb8ac9b44b66733d.jpg,train,122.0,603.0,406.0,420.0,쇼츠,,,,,,,,쇼츠·미니 기장,,,,,,카모,,벨트
images/7a1f5cad4990cfc7c1ab2c4a0313678a.jpg,train,235.0,177.0,149.0,295.0,니트,,,,,7부 소매,,기본 기장,,,,레귤러핏,,,무지,니트,
images/7a1f5cad4990cfc7c1ab2c4a0313678a.jpg,train,30.0,372.0,501.0,612.0,스커트,,,,,,,,롱·긴바지 기장,,,,,비대칭,무지,,
images/000aac3870ea7c59ca0333ffa5327323.jpg,train,382.0,206.0,187.0,365.0,원피스,,,,,,,,쇼츠·미니 기장,,,,,A라인,플로럴,,
images/000aac3870ea7c59ca0333ffa5327323.jpg,train,367.0,201.0,196.0,223.0,가디건,,,,,7부 소매,기본 소매,기본 기장,,V넥,,레귤러핏,,,무지,니트,단추
images/89bac7da2c4aaafdd35a209458f35682.jpg,train,246.0,548.0,205.0,77.0,쇼츠,,,,,,,,쇼츠·미니 기장,,,,슬림핏,,무지,,
images/89bac7da2c4aaafdd35a209458f35682.jpg,train,111.0,180.0,384.0,394.0,후드티,,,,,긴팔,기본 소매,기본 기장,,,,레귤러핏,,,무지,,후드|포켓
images/942b54e6f452307fb019e62432bad3b3.jpg,train,329.0,233.0,391.0,303.0,원피스,,,,,긴팔,기본 소매,,무릎 기장,스퀘어넥,,,,A라인,무지,,
images/942b54e6f452307fb019e62432bad3b3.jpg,train,489.0,146.0,437.0,299.0,재킷,,,,,긴팔,기본 소매,크롭 기장,,,셔츠 칼라,레귤러핏,,,,,지퍼
images/922d0d9d6235c4a6c985f9b9b754da16.jpg,train,149.0,267.0,182.0,227.0,탑,,,,,,,기본 기장,,,,슬림핏,,,무지,,
images/922d0d9d6235c4a6c985f9b9b754da16.jpg,train,149.0,470.0,185.0,427.0,팬츠,,,,,,,,롱·긴바지 기장,,,,슬림핏,,무지,,
images/922d0d9d6235c4a6c985f9b9b754da16.jpg,train,101.0,179.0,276.0,283.0,재킷,,,,,7부 소매,기본 소매,크롭 기장,,,스탠드 칼라,슬림핏,,,무지,,지퍼
images/60cfbbd127ea6167144ed2fc942dcb74.jpg,train,101.0,440.0,134.0,235.0,쇼츠,,,,,,,,쇼츠·미니 기장,,,,슬림핏,,무지,,
images/60cfbbd127ea6167144ed2fc942dcb74.jpg,train,193.0,286.0,370.0,352.0,탑,,,,,반팔,벨 소매,크롭 기장,,V넥,,여유핏,,,무지|플로럴,,
images/adbb3bbbfdb6e4403dec1d9d544f3597.jpg,train,479.0,182.0,259.0,467.0,점프수트,,,,,긴팔,기본 소매,,쇼츠·미니 기장,,라펠 칼라,여유핏,,,무지,,벨트|지퍼
images/adbb3bbbfdb6e4403dec1d9d544f3597.jpg,train,455.0,185.0,286.0,526.0,재킷,,,,,긴팔,기본 소매,크롭 기장,,,,레귤러핏,,,무지,,지퍼|벨트
images/ae64f8c99ae9ca1b606015d673f83345.jpg,val_train_split,317.0,316.0,322.0,690.0,원피스,,,,,,,,쇼츠·미니 기장,,,,,H라인,무지,,지퍼
images/ae64f8c99ae9ca1b606015d673f83345.jpg,val_train_split,181.0,264.0,440.0,450.0,재킷,,,,,긴팔,기본 소매,크롭 기장,,스퀘어넥,,슬림핏,,,무지,,지퍼
images/17d53477d34108d3031e39bce24bb143.jpg,val_train_split,455.0,279.0,113.0,332.0,팬츠,,,,,,,,롱·긴바지 기장,,,,슬림핏,,무지,,지퍼
images/17d53477d34108d3031e39bce24bb143.jpg,val_train_split,445.0,137.0,152.0,443.0,가디건,,,,,,,,,,,레귤러핏,,,,니트,
images/17d53477d34108d3031e39bce24bb143.jpg,val_train_split,380.0,97.0,227.0,289.0,탑,,,,,긴팔,기본 소매,크롭 기장,,라운드넥,,슬림핏,,,무지,,
