image_path,split,bbox_x,bbox_y,bbox_w,bbox_h,category,lower_subtype,pant_leg_shape,pant_length,lower_detail,sleeve_length,sleeve_shape,upper_length,lower_length,neckline,collar,upper_fit,lower_fit,silhouette,pattern,material,detail
images/68eb04486d1017bf45bc0c1ef5bf109e.jpg,train,238.0,544.0,213.0,354.0,청바지,,,,,,,,롱·긴바지 기장,,,,스트레이트핏,H라인,무지,데님,포켓
images/68eb04486d1017bf45bc0c1ef5bf109e.jpg,train,204.0,215.0,297.0,352.0,셔츠,,,,,긴팔,기본 소매,기본 기장,,,,슬림핏,,비대칭,무지,,단추|후드
images/ae52bd43c5ef8170efb8bef7932d0da4.jpg,train,516.0,174.0,172.0,237.0,원피스,,,,,,,,쇼츠·미니 기장,,칼라 없음,,,X라인,그래픽,,
images/681404bb46925f17caf213ffa01f1b81.jpg,train,80.0,197.0,434.0,489.0,재킷,,,,,긴팔,,,,,,오버핏,,,무지,퍼·플리스,단추
images/681404bb46925f17caf213ffa01f1b81.jpg,train,253.0,679.0,138.0,266.0,팬츠,,,,,,,,롱·긴바지 기장,,,,,,,,
images/ffc105abc4f37e1bc139934f70c0aa96.jpg,train,355.0,148.0,201.0,246.0,티셔츠,,,,,반팔,캡 소매,크롭 기장,,V넥,,레귤러핏,,,스트라이프,,
images/ffc105abc4f37e1bc139934f70c0aa96.jpg,train,360.0,379.0,216.0,188.0,스커트,,,,,,,,쇼츠·미니 기장,,,,,A라인,무지,,벨트
images/3770f128fd2e215436c54c570962e666.jpg,train,308.0,580.0,123.0,243.0,스커트,,,,,,,,무릎 기장,,,,스트레이트핏,H라인,무지,,
images/3770f128fd2e215436c54c570962e666.jpg,train,273.0,395.0,116.0,400.0,원피스,,,,,반팔,기본 소매,,무릎 기장,,스탠드 칼라,,,비대칭,무지,,
images/d8d229dbfb04b19180c64ff953611125.jpg,train,135.0,310.0,475.0,559.0,탑,,,,,긴팔,퍼프 소매,크롭 기장,,홀터넥,,여유핏,,,무지|스트라이프,,
images/d8d229dbfb04b19180c64ff953611125.jpg,train,145.0,783.0,399.0,240.0,청바지,,,,,,,,,,,,스트레이트핏,H라인,무지,데님,
images/32192f5b1aa0e71e1b70ec7bc6b0812b.jpg,train,338.0,355.0,36.0,86.0,팬츠,,,,,,,,롱·긴바지 기장,,,,,,무지,,
images/32192f5b1aa0e71e1b70ec7bc6b0812b.jpg,train,326.0,239.0,57.0,121.0,재킷,,,,,긴팔,기본 소매,기본 기장,,,,레귤러핏,,,무지,퍼·플리스,포켓|후드
images/10c0cdba6b6947b6d3305cef3456eee3.jpg,train,282.0,318.0,196.0,597.0,점프수트,,,,,,,,롱·긴바지 기장,,,,,,무지,,
images/10c0cdba6b6947b6d3305cef3456eee3.jpg,train,268.0,208.0,299.0,390.0,블레이저,,,,,긴팔,기본 소매,기본 기장,,,라펠 칼라,레귤러핏,,,무지,,지퍼
images/7c1ed4fbfa4a2785dd5aa10bd63c7e93.jpg,train,275.0,605.0,165.0,140.0,스커트,,,,,,,,쇼츠·미니 기장,,,,플레어핏,A라인,무지,,
images/7c1ed4fbfa4a2785dd5aa10bd63c7e93.jpg,train,189.0,458.0,263.0,185.0,티셔츠,,,,,긴팔,기본 소매,크롭 기장,,,피터팬 칼라,슬림핏,,,무지,,
images/711959e43dd0f0cd7925b47ec1f5af83.jpg,train,233.0,260.0,218.0,328.0,셔츠,,,,,반팔,기본 소매,,,,셔츠 칼라,여유핏,,,체크,,단추|리본
