image_path,split,bbox_x,bbox_y,bbox_w,bbox_h,category,lower_subtype,pant_leg_shape,pant_length,lower_detail,sleeve_length,sleeve_shape,upper_length,lower_length,neckline,collar,upper_fit,lower_fit,silhouette,pattern,material,detail
images/e2dff3ef4e09d5c6389f217a73db57bd.jpg,train,206.0,264.0,230.0,403.0,원피스,,,,,긴팔,기본 소매,,쇼츠·미니 기장,,셔츠 칼라,,,H라인,무지,,단추|포켓
images/3edf2409090fd7ee1717fb99b82b9f02.jpg,train,254.0,565.0,219.0,458.0,원피스,,,,,,,,,,칼라 없음,,,H라인,플로럴|무지,,벨트
images/54a18d046759fe669866137b7eb90b9d.jpg,train,724.0,319.0,107.0,222.0,팬츠,,,,,,,,롱·긴바지 기장,,,,슬림핏,,무지,,
images/54a18d046759fe669866137b7eb90b9d.jpg,train,702.0,126.0,171.0,223.0,재킷,,,,,긴팔,기본 소매,기본 기장,,,,레귤러핏,,,무지,퍼·플리스,지퍼|포켓
images/c081bdff1c4bf20147aeae3a95b2e899.jpg,train,120.0,273.0,188.0,734.0,원피스,,,,,,,,롱·긴바지 기장,,,,,,애니멀,,
images/441ceced1a0d4d766b10479a338e334f.jpg,train,191.0,228.0,216.0,246.0,티셔츠,,,,,반팔,캡 소매,크롭 기장,,V넥,,레귤러핏,,,무지|스트라이프,,
images/441ceced1a0d4d766b10479a338e334f.jpg,train,165.0,431.0,210.0,348.0,스커트,,,,,,,,미디·7부 기장,,,,,,무지,,단추
images/af15948a1e3a1113c94f65ef3df65714.jpg,train,138.0,548.0,347.0,473.0,스커트,,,,,,,,미디·7부 기장,,,,,,플로럴|도트,,단추
images/af15948a1e3a1113c94f65ef3df65714.jpg,train,202.0,459.0,178.0,94.0,탑,,,,,,,크롭 기장,,,,슬림핏,,,플로럴,,
images/68a6e77f39b179789d857429a888f155.jpg,train,183.0,458.0,174.0,296.0,원피스,,,,,,,,쇼츠·미니 기장,,,,,X라인,무지,,플리츠|지퍼
images/6bb2b531f463e2c37940c29f5f785627.jpg,train,96.0,370.0,320.0,387.0,탑,,,,,반팔,벌룬 소매,크롭 기장,,,,여유핏,,,무지,,
images/6bb2b531f463e2c37940c29f5f785627.jpg,train,157.0,659.0,285.0,364.0,청바지,,,,,,,,,,,,스트레이트핏,H라인,무지,데님,포켓|벨트
images/36fb7cc2d0ca31e491b4d7ca2dc4fdf0.jpg,train,661.0,257.0,189.0,219.0,스커트,,,,,,,,쇼츠·미니 기장,,,,스트레이트핏,비대칭,무지,,
images/36fb7cc2d0ca31e491b4d7ca2dc4fdf0.jpg,train,571.0,93.0,326.0,194.0,셔츠,,,,,7부 소매,기본 소매,,,,셔츠 칼라,슬림핏,,,무지,,단추
images/016851f753fbf1d53882c449353d2a70.jpg,train,389.0,200.0,183.0,278.0,원피스,,,,,긴팔,벨 소매,,롱·긴바지 기장,,,,,X라인,무지,,
images/aa155bb0b44b599ba8216a4e11c04f13.jpg,train,259.0,351.0,313.0,578.0,점프수트,,,,,반팔,,,쇼츠·미니 기장,라운드넥,,여유핏,,,플로럴,,
images/f26f8e21b6ad87f5c1f9ea09c4fe3f6a.jpg,train,300.0,529.0,351.0,333.0,원피스,,,,,,,,미디·7부 기장,,,,,A라인,플로럴,,
images/f26f8e21b6ad87f5c1f9ea09c4fe3f6a.jpg,train,355.0,358.0,301.0,250.0,가디건,,,,,긴팔,기본 소매,크롭 기장,,라운드넥,,레귤러핏,,,플로럴,니트,단추
images/f2898f2b71cde32c761504eb1bfa64de.jpg,train,198.0,250.0,251.0,405.0,점프수트,,,,,7부 소매,기본 소매,,쇼츠·미니 기장,,,여유핏,,,플로럴,,
images/0298459b657b02a335529e7df32d8d45.jpg,train,261.0,310.0,177.0,322.0,원피스,,,,,반팔,기본 소매,,쇼츠·미니 기장,,,,,H라인,,,
images/601d1f799b02ee5ebd1a4b59b45d7df4.jpg,train,274.0,176.0,330.0,556.0,재킷,,,,,긴팔,기본 소매,크롭 기장,,,셔츠 칼라,여유핏,,,무지,퍼·플리스,단추
images/601d1f799b02ee5ebd1a4b59b45d7df4.jpg,train,347.0,629.0,271.0,394.0,원피스,,,,,,,,,,,,,H라인,무지,,
images/23b00f54c63fbddd8b1cdad86850727f.jpg,train,205.0,210.0,234.0,426.0,원피스,,,,,반팔,기본 소매,,쇼츠·미니 기장,,,오버핏,,,,,단추
images/c8b8370a96a2c0e9a908d427a8580c50.jpg,train,253.0,450.0,256.0,202.0,스커트,,,,,,,,쇼츠·미니 기장,,,,,A라인,무지,,
images/c8b8370a96a2c0e9a908d427a8580c50.jpg,train,330.0,186.0,292.0,333.0,셔츠,,,,,긴팔,기본 소매,기본 기장,,,셔츠 칼라,레귤러핏,,,도트,,단추
images/e6ba2f781bd35ce63e01f774948de028.jpg,train,564.0,196.0,81.0,230.0,셔츠,,,,,긴팔,기본 소매,,,,셔츠 칼라,레귤러핏,,,무지,,단추
