product_id,photo_color,agreement,garment_ratio,reason
MS6939618,,0.772,0.2882,low_agreement
MS6618666,,0.670,0.1587,low_agreement
MS6842612,,0.475,0.3792,low_agreement
MS6849602,,0.497,0.4626,low_agreement
MS6906711,블랙,0.965,0.4527,garment_vote
MS6590793,,0.532,0.1803,low_agreement
MS4820905,화이트,0.958,0.3823,garment_vote
MS6929983,,0.360,0.5073,low_agreement
MS6778501,,0.677,0.2338,low_agreement
MS6853485,그레이,0.930,0.3250,garment_vote
MS6686203,,0.703,0.4881,low_agreement
MS7036128,,0.512,0.3899,low_agreement
MS7036132,,0.450,0.3509,low_agreement
MS7042791,화이트,0.897,0.3390,garment_vote
MS6830180,블랙,0.910,0.1141,garment_vote
MS6777736,,0.752,0.3257,low_agreement
MS6951157,그레이,0.835,0.5997,garment_vote
MS6103340,,0.525,0.2428,low_agreement
MS5095362,,0.438,0.2805,low_agreement
MS4143736,,0.375,0.3508,low_agreement
MS7038176,,0.745,0.3733,low_agreement
MS7130236,그레이,0.973,0.2702,garment_vote
MS7130234,,0.497,0.2679,low_agreement
MS7049234,,0.762,0.4750,low_agreement
MS4897679,,0.367,0.1021,low_agreement
MS4030865,블랙,0.990,0.2330,garment_vote
MS5017539,블루,0.830,0.3251,garment_vote
MS6204872,,0.627,0.6129,low_agreement
MS6102710,,0.700,0.3381,low_agreement
MS4964012,블랙,0.885,0.4546,garment_vote
MS6805258,네이비,0.978,0.3417,garment_vote
MS6222788,,0.492,0.2047,low_agreement
MS4979822,,0.787,0.2148,low_agreement
MS7048237,,0.422,0.2091,low_agreement
MS7048225,,0.468,0.2634,low_agreement
MS7031990,블랙,0.922,0.3479,garment_vote
MS4202541,브라운,0.985,0.4582,garment_vote
MS3876972,,0.705,0.2352,low_agreement
MS5799256,,0.432,0.5351,low_agreement
MS5594926,,0.790,0.3840,low_agreement
MS6800970,,0.477,0.2348,low_agreement
MS6686160,블랙,0.943,0.1169,garment_vote
MS6800939,,0.725,0.5239,low_agreement
MS6800937,블랙,0.938,0.1150,garment_vote
MS5308081,블루,0.840,0.1920,garment_vote
MS7115644,화이트,0.865,0.5798,garment_vote
MS7115643,블랙,0.855,0.5669,garment_vote
MS7115642,,0.777,0.5747,low_agreement
MS7115640,블랙,0.912,0.5601,garment_vote
MS6932766,,0.492,0.5638,low_agreement
MS7051966,,0.615,0.6378,low_agreement
MS6968497,,0.598,0.3254,low_agreement
MS7000197,,0.733,0.3479,low_agreement
MS5355751,,0.405,0.2859,low_agreement
MS7115667,블랙,0.877,0.3237,garment_vote
MS7115664,블랙,0.960,0.3275,garment_vote
MS7115663,,0.415,0.3785,low_agreement
MS7115662,블랙,0.890,0.3045,garment_vote
MS7115648,블랙,0.892,0.5587,garment_vote
MS7115647,,0.505,0.5612,low_agreement
MS7115646,화이트,0.890,0.5628,garment_vote
MS7115638,블랙,0.895,0.5661,garment_vote
MS7115637,블랙,0.870,0.5634,garment_vote
MS6109260,블랙,0.920,0.1940,garment_vote
MS6103298,블랙,0.833,0.2340,garment_vote
MS3968466,,0.555,0.5169,low_agreement
MS6109248,,0.378,0.2815,low_agreement
MS3476073,,0.662,0.4070,low_agreement
MS3989444,블랙,0.990,0.2797,garment_vote
MS5114507,,0.463,0.3642,low_agreement
MS6980168,그레이,0.810,0.2094,garment_vote
MS6704409,,0.625,0.2056,low_agreement
MS6704405,,0.448,0.1666,low_agreement
MS6704403,그레이,0.900,0.1660,garment_vote
MS7037364,블랙,0.910,0.3692,garment_vote
