product_id,name,category,color,style,purposes,body_shapes,price,season,stock,url,item_type,fit,length,pattern,material,neckline,formality,activity_tags,warmth,breathability,water_resistant,visual_weight,detail_level,waistline,pattern_scale,pattern_contrast,brand,gender,image_url,image_path,detail_color,detail_season,detail_fit,detail_thickness,detail_sheer,detail_category,color_options,detail_colors
MS6998399,JS TOMIE HELLO KITTY TEE_WHITE(NG2GMUT540G),top,화이트,캐주얼,데일리|여행,상체 강조형|균형형,59000,여름,true,https://www.musinsa.com/products/6998399,티셔츠,레귤러핏,기본 기장,그래픽,울,라운드넥,2,일상,3,2,false,5,4,,큰,4,나이스고스트클럽,여성,https://image.msscdn.net/images/goods_img/20260805/6998399/6998399_17863356295074_500.jpg,datasets/garments/raw/MS6998399.jpg,화이트,여름,레귤러핏,보통,없음,Clothing > 티셔츠 > 반소매 티셔츠,화이트,화이트
MS6697403,플라워 오프숄더 숏슬리브_베이지,top,베이지,캐주얼,데일리|여행,균형형,46800,봄,true,https://www.musinsa.com/products/6697403,티셔츠,여유핏,기본 기장,무지,니트,오프숄더,2,일상,4,2,false,2,2,,,0,하이스쿨디스코,여성,https://image.msscdn.net/images/goods_img/20260618/6697403/6697403_17846969724474_500.jpg,datasets/garments/raw/MS6697403.jpg,,봄,여유핏,약간 얇음,없음,Clothing > 티셔츠 > 반소매 티셔츠,베이지,
MS6939618,짱구 닭살커플 반팔 티셔츠 2팩,top,,캐주얼,데일리|여행,상체 강조형|균형형,49900,여름,true,https://www.musinsa.com/products/6939618,티셔츠,,기본 기장,그래픽,코튼,라운드넥,2,일상,3,4,false,5,4,,큰,4,댄꼼마,남성,https://image.msscdn.net/images/goods_img/20260728/6939618/6939618_17852201914605_500.jpg,datasets/garments/raw/MS6939618.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,,
MS6927386,폴라리스 롤업 세미크롭 반팔 티셔츠 [버건디],top,버건디,캐주얼,데일리|여행,상체 강조형|균형형,33000,봄,true,https://www.musinsa.com/products/6927386,티셔츠,레귤러핏,기본 기장,무지,니트,라운드넥,2,일상,3,2,false,3,4,,,0,쿠톤,남성,https://image.msscdn.net/images/goods_img/20260727/6927386/6927386_17851228499565_500.jpg,datasets/garments/raw/MS6927386.jpg,,봄,레귤러핏,보통,거의 없음,Clothing > 티셔츠 > 반소매 티셔츠,버건디,
MS6618666,Sally V-cut Stripe Layered Short Sleeve_4Colors,top,,캐주얼,데일리|여행,상체 강조형|균형형,34300,사계절,true,https://www.musinsa.com/products/6618666,티셔츠,슬림핏,크롭 기장,무지,메시,폴로 칼라,2,일상|운동,1,5,false,2,3,,,0,어반드레스,여성,https://image.msscdn.net/images/goods_img/20260605/6618666/6618666_17806458173868_500.jpg,datasets/garments/raw/MS6618666.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,,
MS6896783,롤업 레이어드 크롭 반팔티 [블랙],top,블랙,캐주얼,데일리|여행,상체 강조형|균형형,27930,봄,true,https://www.musinsa.com/products/6896783,티셔츠,레귤러핏,기본 기장,무지,메시,라운드넥,2,일상|운동,3,2,false,3,4,,,0,그리쉬,남성,https://image.msscdn.net/images/goods_img/20260722/6896783/6896783_17853840155941_500.jpg,datasets/garments/raw/MS6896783.jpg,,봄,레귤러핏,보통,없음,Clothing > 티셔츠 > 반소매 티셔츠,블랙,
MS7008658,[Disney] 슬림 레귤러핏 그래픽 티셔츠  그레이,top,그레이,스트리트,데일리|여행,상체 강조형|균형형,25420,사계절,true,https://www.musinsa.com/products/7008658,티셔츠,,크롭 기장,그래픽,가죽,라운드넥,2,일상,4,1,true,5,1,,큰,4,에잇세컨즈,여성,https://image.msscdn.net/images/goods_img/20260806/7008658/7008658_17859928583549_500.jpg,datasets/garments/raw/MS7008658.jpg,회색(앤틱실버),,,,,Clothing > 티셔츠 > 반소매 티셔츠,그레이,회색(앤틱실버)
MS6858118,아치 프레임 로고 티셔츠(3colors) NTS6026,top,블랙,캐주얼,데일리|여행,상체 강조형|균형형,17400,사계절,true,https://www.musinsa.com/products/6858118,티셔츠,여유핏,크롭 기장,그래픽,니트,라운드넥,2,일상,4,2,false,5,4,,큰,4,노티카,남성,https://image.msscdn.net/images/goods_img/20260716/6858118/6858118_17852024206996_500.jpg,datasets/garments/raw/MS6858118.jpg,BLACK,,,,,Clothing > 티셔츠 > 반소매 티셔츠,블랙,BLACK
MS6852823,케어베어 OS 티 - 블랙 / IA4539,top,블랙,캐주얼,데일리|여행,상체 강조형|균형형,65550,사계절,true,https://www.musinsa.com/products/6852823,티셔츠,,기본 기장,그래픽,울,라운드넥,2,일상,5,2,false,5,4,,큰,4,아디다스,남성,https://image.msscdn.net/images/goods_img/20260715/6852823/6852823_17846308345807_500.jpg,datasets/garments/raw/MS6852823.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,블랙,
MS6967421,보트넥 7부 티셔츠_MIWHWG910A,top,블랙,캐주얼,데일리|여행,상체 강조형|균형형,16910,사계절,true,https://www.musinsa.com/products/6967421,티셔츠,슬림핏,크롭 기장,무지,실크·새틴,보트넥,2,일상,2,4,false,3,4,,,0,미쏘,여성,https://image.msscdn.net/images/goods_img/20260731/6967421/6967421_17854745571965_500.jpg,datasets/garments/raw/MS6967421.jpg,(19)Black,,,,,Clothing > 티셔츠 > 반소매 티셔츠,블랙,(19)Black
MS6842612,스위프트 에어로 핏 반소매 러닝 탑 W - 블랙:라이트 그린 스파크 / IH8115-014,top,,캐주얼,데일리|여행,상체 강조형|균형형,85500,여름,true,https://www.musinsa.com/products/6842612,티셔츠,슬림핏,크롭 기장,무지,메시,라운드넥,2,일상|운동,1,5,false,3,4,,,0,나이키,여성,https://image.msscdn.net/images/goods_img/20260714/6842612/6842612_17847949033163_500.jpg,datasets/garments/raw/MS6842612.jpg,,,,,,Sportswear > 상의 > 반소매 티셔츠,,
MS6839271,Girl Stress Nutrition 레이어드 롤업 반팔티셔츠 네이비,top,네이비,캐주얼,데일리|여행,상체 강조형|균형형,31500,봄,true,https://www.musinsa.com/products/6839271,티셔츠,레귤러핏,크롭 기장,그래픽,,라운드넥,2,일상,3,3,false,5,4,,큰,4,후드후드,공용,https://image.msscdn.net/images/goods_img/20260714/6839271/6839271_17846222147803_500.jpg,datasets/garments/raw/MS6839271.jpg,,봄,레귤러핏,보통,보통,Clothing > 티셔츠 > 반소매 티셔츠,네이비,
MS4971043,메이크 아트 반소매 티셔츠 - 화이트 / 1211532810,top,화이트,캐주얼,데일리|여행,상체 강조형|균형형,59990,여름,true,https://www.musinsa.com/products/4971043,티셔츠,,기본 기장,그래픽,실크·새틴,라운드넥,2,일상,2,4,false,5,3,,큰,4,앰부시,남성,https://image.msscdn.net/images/goods_img/20250401/4971043/4971043_17446999234111_500.jpg,datasets/garments/raw/MS4971043.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,화이트,
MS7008622,[Disney] 오버핏 그래픽 반소매 티셔츠  브라운,top,브라운,스트리트,데일리|여행,상체 강조형|균형형,33920,여름,true,https://www.musinsa.com/products/7008622,티셔츠,레귤러핏,기본 기장,그래픽,메시,라운드넥,2,일상|운동,1,5,false,5,4,,큰,4,에잇세컨즈,여성,https://image.msscdn.net/images/goods_img/20260806/7008622/7008622_17859927858547_500.jpg,datasets/garments/raw/MS7008622.jpg,진한갈색,,,,,Clothing > 티셔츠 > 반소매 티셔츠,브라운,진한갈색
MS6849602,스폰지밥 호러에디션 반팔 티셔츠,top,,캐주얼,데일리|여행,상체 강조형|균형형,39900,여름,true,https://www.musinsa.com/products/6849602,티셔츠,레귤러핏,크롭 기장,그래픽,실크·새틴,라운드넥,2,일상,2,4,false,5,4,,큰,4,댄꼼마,남성,https://image.msscdn.net/images/goods_img/20260715/6849602/6849602_17845118720492_500.jpg,datasets/garments/raw/MS6849602.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,,
MS6906711,[3PACK] 아스킨 머슬핏 숏슬리브,top,,캐주얼,데일리|여행,균형형,36650,여름,true,https://www.musinsa.com/products/6906711,티셔츠,슬림핏,기본 기장,무지,,라운드넥,2,일상,3,3,false,2,2,,,0,어프레쉬,남성,https://image.msscdn.net/images/goods_img/20260723/6906711/6906711_17847744258243_500.jpg,datasets/garments/raw/MS6906711.jpg,,,,,,Sportswear > 상의 > 반소매 티셔츠,,
MS6590793,3-버튼 헨리넥 오버핏 반팔 티셔츠 - 2color,top,,캐주얼,데일리|여행,균형형,24900,여름,true,https://www.musinsa.com/products/6590793,티셔츠,레귤러핏,크롭 기장,무지,니트,라운드넥,2,일상,4,2,false,2,2,,,0,마인드브릿지,남성,https://image.msscdn.net/images/goods_img/20260602/6590793/6590793_17821814714602_500.jpg,datasets/garments/raw/MS6590793.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,,
MS6896891,Stripe Block Henry Neck Slim Fit T-shirts Navy,top,네이비,캐주얼,데일리|여행,상체 강조형|균형형,34000,봄,true,https://www.musinsa.com/products/6896891,티셔츠,슬림핏,크롭 기장,스트라이프,니트,라운드넥,2,일상,3,3,false,3,1,,중간,3,에스이에스티,여성,https://image.msscdn.net/images/goods_img/20260722/6896891/6896891_17846984237356_500.jpg,datasets/garments/raw/MS6896891.jpg,네이비,봄,슬림핏,보통,보통,Clothing > 티셔츠 > 반소매 티셔츠,네이비,네이비
MS6529592,87-STAN335 Y2K 트리니티 글리치 피그먼트 반팔 티셔츠 (3color),top,블랙,캐주얼,데일리|여행,상체 강조형|균형형,23900,여름,true,https://www.musinsa.com/products/6529592,티셔츠,,기본 기장,무지,가죽,라운드넥,2,일상,4,1,true,3,4,,,0,스탠다드에러,공용,https://image.msscdn.net/images/goods_img/20260521/6529592/6529592_17808922296737_500.jpg,datasets/garments/raw/MS6529592.jpg,피그먼트 블랙,,,,,Clothing > 티셔츠 > 반소매 티셔츠,블랙,피그먼트 블랙
MS4651496,우먼즈 리브드 멀티 스트라이프 슬림 티셔츠 [옐로우],top,옐로,캐주얼,데일리|여행,상체 강조형|균형형,17910,봄,true,https://www.musinsa.com/products/4651496,티셔츠,슬림핏,크롭 기장,스트라이프,퍼·플리스,라운드넥,2,일상|운동,5,2,false,3,3,,중간,3,무신사 스탠다드 우먼,여성,https://image.msscdn.net/images/goods_img/20241205/4651496/4651496_17509896841791_500.jpg,datasets/garments/raw/MS4651496.jpg,,봄,슬림핏,약간 얇음,거의 없음,Clothing > 티셔츠 > 반소매 티셔츠,옐로,
MS6968705,포니 레터링 슬림 세미 크롭티 (레몬),top,옐로,캐주얼,데일리|여행,상체 강조형|균형형,27300,사계절,true,https://www.musinsa.com/products/6968705,티셔츠,여유핏,기본 기장,무지,니트,라운드넥,2,일상,4,2,false,3,4,,,0,피스메이커,여성,https://image.msscdn.net/images/goods_img/20260731/6968705/6968705_17854796149273_500.jpg,datasets/garments/raw/MS6968705.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,옐로,
MS4820905,1961 뮤직 페스티벌 반소매 티셔츠 - 네추럴 / 817047Y37YJ9010,top,,캐주얼,데일리|여행,상체 강조형|균형형,99990,여름,true,https://www.musinsa.com/products/4820905,티셔츠,레귤러핏,기본 기장,그래픽,코튼,라운드넥,2,일상,3,4,false,5,4,,큰,4,생로랑,여성,https://image.msscdn.net/images/goods_img/20250224/4820905/4820905_17415777825789_500.jpg,datasets/garments/raw/MS4820905.jpg,,,,,,Clothing > 티셔츠 > 반소매 티셔츠,,
MS6929983,[2PACK] 폴라리스 롤업 세미크롭 반팔 티셔츠 3COLOR,top,,캐주얼,데일리|여행,균형형,51900,봄,true,https://www.musinsa.com/products/6929983,티셔츠,레귤러핏,크롭 기장,무지,레이스,라운드넥,2,일상,3,2,false,2,1,,,0,쿠톤,공용,https://image.msscdn.net/images/goods_img/20260727/6929983/6929983_17851378723043_500.jpg,datasets/garments/raw/MS6929983.jpg,,봄,레귤러핏,보통,거의 없음,Clothing > 티셔츠 > 반소매 티셔츠,,
