product_id,category,name,brand_name,brand,image_url,url,image_sha256,cut_type,cut_reviewer,cut_reviewed_at,gold_item_type,gold_fit,gold_length,gold_material,human_reviewer,reviewed_at,label_evidence,label_source,ai_reviewer,ai_reviewed_at,seller_evidence_url,seller_evidence_sha256,review_artifact_sha256
MS6955600,top,TRIPLE LAYERED MULTI WAY TOP IN NAVY,마뗑킴,matinkim,https://image.msscdn.net/images/goods_img/20260730/6955600/6955600_17857218106279_500.jpg,https://www.musinsa.com/products/6955600,ad2b804a44a3b7dfb1e36974bcc88c96884b79ef9f9cdfde5a98b27bb7cded37,flat,Codex (AI visual review; not human ground truth),2026-09-22,티셔츠,레귤러핏,기본 기장,other,,,"판매자 본문 레귤러핏, 총장 56/58cm. 겉감 레이온 68%·면 32%로 주 소재는 어휘 밖. 사진은 누끼컷.",ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/6955600,c973850a13a986ce83d8822650bc7572f1d6ddca74cf9b66c0fcc65242e7f91d,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS7059554,top,슬럽 래글런 롱슬리브 [네이비],슬로우애시드,slowacid,https://image.msscdn.net/images/goods_img/20260812/7059554/7059554_17876361717388_500.jpg,https://www.musinsa.com/products/7059554,a118855518c2c70e03770739a52f67412a019df0542269687f7090f65a2097ca,flat,Codex (AI visual review; not human ground truth),2026-09-22,티셔츠,레귤러핏,unknown,unknown,,,판매자 핏 태그 레귤러. 추가 사진도 비착용. 총장과 섬유 조성은 확인 불가.,ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/7059554,3cf9974cf58c28611eca649f06cb08dd8f991f29f928895d6cfc7e91d3dc398a,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS7088559,top,울 캐시미어 딥 브이넥 니트 탑 퍼플 MDKT138PURPLE,몽돌,mongdol,https://image.msscdn.net/images/goods_img/20260817/7088559/7088559_17894389606373_500.jpg,https://www.musinsa.com/products/7088559,a0a335c427b8b71448b2e64743803488221b8fe7e0bb3a8b9a3e9697df863e11,worn,Codex (AI visual review; not human ground truth),2026-09-22,니트,여유핏,기본 기장,니트,,,착용한 V넥 니트의 몸통이 여유 있고 밑단이 허리 아래. 판매자 분류 니트/스웨터.,ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/7088559,17b33a20bfab2af5f133cee686807e90d1c2ceb4c0706f2dd1efe4839234a652,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS6968276,top,Double placket slim hoodie CHARCOAL,미세키서울,misekiseoul,https://image.msscdn.net/images/goods_img/20260731/6968276/6968276_17877244078964_500.jpg,https://www.musinsa.com/products/6968276,bbc918a1b575869d157b860dd08476e4e4bc69b1563eb058fc33afb3bc5724e5,worn,Codex (AI visual review; not human ground truth),2026-09-22,후드티,레귤러핏,unknown,unknown,,,후드 상의의 어깨와 몸통이 보통 여유. 앉은 자세와 소품 때문에 밑단을 확정할 수 없음.,ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/6968276,d6a42e27b07ac5fc6923bd44298ea1ccfa42e633a9381cdce9d8f6065e09e2ab,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS7144038,top,BC 크랙 레이어드 롱 슬리브 (BURGUNDY),버닝카포네,burningcapone,https://image.msscdn.net/images/goods_img/20260824/7144038/7144038_17875479846653_500.jpg,https://www.musinsa.com/products/7144038,54c4a01aa4156bb17501769cc610cfe88e163e2ef9d1a1c7263574d0abbdd607,worn,Codex (AI visual review; not human ground truth),2026-09-22,티셔츠,오버핏,unknown,코튼,,,판매자 오버사이즈 태그와 코튼 95% 본문. 착용컷 밑단은 프레임 밖.,ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/7144038,44ef2c77ae28cd039f71d0c3f1d656b38499cbc9dc9ca008791f2b54e658e233,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS5395163,top,[2PACK] 울 크롭 니트 카키멜 (+솔리드 크롭 티셔츠 증정),테이크이지,takeasy,https://image.msscdn.net/images/goods_img/20250903/5395163/5395163_17576401759546_500.jpg,https://www.musinsa.com/products/5395163,aec14e863d2018b7e6a13a5c26dc7fd66d63032361c3a8dae1cec1f12f888042,flat,Codex (AI visual review; not human ground truth),2026-09-22,니트,여유핏,크롭 기장,니트,,,"원본은 평면 니트. 별도 착용 사진에서 떨어지는 어깨와 여유 있는 몸통, 허리 벨트 부근의 짧은 밑단 확인.",ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/5395163,16d11e6ae52aa35b5c916bda7f074af747ef8582074e298a723f815f337eeb09,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS7103342,top,[구효민 pick] 스트라이프 컬러 배색 사선 스냅 라운드넥 나그랑 롱슬리브 티셔츠 [차콜],썸플레이스,someplace,https://image.msscdn.net/images/goods_img/20260819/7103342/7103342_17871193839282_500.jpg,https://www.musinsa.com/products/7103342,b75c48a26516a9cfa89e6cf1760234e15e60d6780f61672995ba6ff3bb1252e9,worn,Codex (AI visual review; not human ground truth),2026-09-22,티셔츠,레귤러핏,기본 기장,unknown,,,래글런 티셔츠 몸통이 과도하게 넓지 않고 밑단은 허리 아래. 판매자 레귤러·루즈 복수 태그 중 사진 기준 레귤러; 경계 사례.,ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/7103342,0f7fc6a85e73ab506bc49373c8ede41028a8856d357a57f5a4b5698e1759d4c6,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS7112643,top,절개 아일렛 롱슬리브 3color,퍼지스캔,otherside,https://image.msscdn.net/images/goods_img/20260820/7112643/7112643_17871861219969_500.jpg,https://www.musinsa.com/products/7112643,962274bd1b287434250d6f9f9eed606b495739e8face1ac24c4a641495fbe1d8,worn,Codex (AI visual review; not human ground truth),2026-09-22,티셔츠,레귤러핏,unknown,unknown,,,착용한 티셔츠의 몸통과 팔에 보통 여유. 하단이 잘려 기장 확인 불가.,ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/7112643,be291721b4d5e1845b4f521671686d64ae4784d70e50960d95eaf29e455ce617,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS7104626,top,핀토 딥브이넥 니트 (라이트그레이),밀리언코르,millioncor,https://image.msscdn.net/images/goods_img/20260819/7104626/7104626_17871176449651_500.jpg,https://www.musinsa.com/products/7104626,6263acf8ff46b97f5333e0bd6137ff3b418b24e534b43ce189aa3c1e6603ece2,worn,Codex (AI visual review; not human ground truth),2026-09-22,니트,여유핏,기본 기장,니트,,,"V넥 니트의 넓은 몸통과 처지는 어깨, 골반 부근 밑단. 판매자 니트 분류.",ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/7104626,bd3bf011e6e329144885616cb5edbc28e577522f8bd9d453ed6cf0a50243646e,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
MS7102714,top,[구효민 pick] 스트라이프 컬러 배색 버튼 베이직 롱 슬리브 후드 티셔츠  [블랙],썸플레이스,someplace,https://image.msscdn.net/images/goods_img/20260819/7102714/7102714_17884011257302_500.jpg,https://www.musinsa.com/products/7102714,123a502217a28697ff7a944b9dfbc93a1f21d57343fb041f87a55f72e1f5baf9,worn,Codex (AI visual review; not human ground truth),2026-09-22,후드티,레귤러핏,기본 기장,unknown,,,줄무늬 후드 상의는 몸통을 따라 떨어지고 밑단은 골반 부근. 판매자 후드 티셔츠 분류; 칼라 티셔츠로 오인하지 않음.,ai_visual_review_with_seller_evidence,Codex (AI visual review; not human ground truth),2026-09-22,https://goods-detail.musinsa.com/api2/goods/7102714,6f66367e9e48b7c371368a3aa17f8d5262c59c373bbec366ad85f0c18ff2237f,41fd3c323a8ba6c5867cc26531745a89a73e0e2f73f2a7179295a72835305f09
