dataset,source_subset,product_id,image_number,original_filename,crop_count,usage_split,used_for_training
fashion200k,fashion200k_bottoms,10690635,0,10690635_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,21313534,0,21313534_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,25132417,0,25132417_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,27093790,0,27093790_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,27533098,0,27533098_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,29164036,0,29164036_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,29502716,0,29502716_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,29579404,1,29579404_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,30215157,1,30215157_1.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,30329124,0,30329124_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,34159533,0,34159533_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,34454308,1,34454308_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,35402230,0,35402230_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,36056077,0,36056077_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,36184455,0,36184455_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,36350107,0,36350107_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,37190895,0,37190895_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,37214250,0,37214250_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,38497370,1,38497370_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,39958704,0,39958704_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,40467438,0,40467438_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,41878581,0,41878581_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,42365987,0,42365987_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,42456891,0,42456891_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,42471145,0,42471145_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,42562545,1,42562545_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,42706991,0,42706991_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,42840947,0,42840947_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,43250881,0,43250881_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,44454128,2,44454128_2.jpeg,1,train,true
fashion200k,fashion200k_bottoms,44586706,0,44586706_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,44646813,0,44646813_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,44743420,1,44743420_1.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,46432542,0,46432542_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,46451695,0,46451695_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,47013892,0,47013892_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,47099119,0,47099119_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,47623450,0,47623450_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,47626440,3,47626440_3.jpeg,1,train,true
fashion200k,fashion200k_bottoms,48013958,0,48013958_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,48692946,0,48692946_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,49057825,1,49057825_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,49505814,0,49505814_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,49732046,1,49732046_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,50102766,1,50102766_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,50153631,2,50153631_2.jpeg,1,train,true
fashion200k,fashion200k_bottoms,50160096,0,50160096_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,50160652,0,50160652_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51278776,0,51278776_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51444756,0,51444756_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51524594,1,51524594_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51541504,0,51541504_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51627097,0,51627097_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,51644774,1,51644774_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51649756,0,51649756_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51666151,0,51666151_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51720388,0,51720388_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,51769682,0,51769682_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,52401718,0,52401718_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,53251688,2,53251688_2.jpeg,1,train,true
fashion200k,fashion200k_bottoms,54615099,1,54615099_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,54656507,0,54656507_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,54789682,0,54789682_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,55712557,0,55712557_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,55723939,0,55723939_0.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,56085565,2,56085565_2.jpeg,1,train,true
fashion200k,fashion200k_bottoms,56921338,0,56921338_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,56926929,3,56926929_3.jpeg,1,train,true
fashion200k,fashion200k_bottoms,56929995,1,56929995_1.jpeg,1,train,true
fashion200k,fashion200k_bottoms,56930519,0,56930519_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,56970502,0,56970502_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,57717842,1,57717842_1.jpeg,1,old_val,false
fashion200k,fashion200k_bottoms,57762633,0,57762633_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,58027909,0,58027909_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,58029774,0,58029774_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,58227075,0,58227075_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,58609018,0,58609018_0.jpeg,1,train,true
fashion200k,fashion200k_bottoms,59686758,2,59686758_2.jpeg,1,old_val,false
