dataset,official_split,image_id,original_filename,source_shard,augmentation_round,selected,valid_crop_count,usage_split,used_for_training
fashionpedia,train2020,25,97e45101f7235a9e56fa95c5e4980c17.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,28,8a20effd8b6ebcaf2b74caa7d35eee41.jpg,0,1,true,2,train,true
fashionpedia,train2020,32,41f415aa0fc1f81d99cc91dca9a2e56c.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,40,ecb4116ed3655dc1d650edfb670dd9d2.jpg,0,1,true,1,new_val,false
fashionpedia,train2020,44,1542730152ed7edd9e60883cc8730e57.jpg,0,1,true,1,train,true
fashionpedia,train2020,48,21c5c122b7545a70509749e7b47778ce.jpg,0,1,true,2,train,true
fashionpedia,train2020,60,42e3a31d833983c58122273bfec102a8.jpg,0,1,true,1,train,true
fashionpedia,train2020,62,e6fbe678e393423558815e54e96aa4e4.jpg,0,1,true,2,train,true
fashionpedia,train2020,63,7195a80781724bbacd54999125fe6d26.jpg,0,1,true,1,train,true
fashionpedia,train2020,67,f3c00b82c17efd0225952e1e24126dcf.jpg,0,1,true,1,train,true
fashionpedia,train2020,68,095a29c0297c935f3483a8521bf6e13b.jpg,0,1,true,1,train,true
fashionpedia,train2020,70,1fd9fccea7c960c56f83f760c04c4685.jpg,0,1,true,3,train,true
fashionpedia,train2020,82,cfa30df621b92ce96e577bdc675859b0.jpg,0,1,true,3,train,true
fashionpedia,train2020,85,b8a9290d7ea62cd23a7402a896b1167c.jpg,0,1,true,2,train,true
fashionpedia,train2020,89,c663df3c229948f7ff004aa452385324.jpg,0,1,true,1,train,true
fashionpedia,train2020,90,9ce198fc13cc74c97a790f14f00d20b2.jpg,0,1,true,1,new_val,false
fashionpedia,train2020,94,ed8829cdbfcbea5a1fc069db0c1d4650.jpg,0,1,true,3,train,true
fashionpedia,train2020,95,0efa0cf779033b2b633eaef5dc2c014b.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,100,cbf05a382c2d8b6d7b401dd5b3cbe41a.jpg,0,1,true,3,train,true
fashionpedia,train2020,103,121e424fcf533cd473fbb5727bc8c815.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,106,61c189acdc02fe7c63a47ea27e691acb.jpg,0,1,true,3,new_val,false
fashionpedia,train2020,107,357d978b387f7bf658ba03b301a01acc.jpg,0,1,true,2,train,true
fashionpedia,train2020,109,4eff8c4fb07a48f72755babb91c676fd.jpg,0,1,true,3,train,true
fashionpedia,train2020,110,6e9ecb3423f76fff2576b25278a877d5.jpg,0,1,true,1,train,true
fashionpedia,train2020,115,bc3b5d9c9df8497dec8371fe624c65de.jpg,0,1,true,3,train,true
fashionpedia,train2020,116,45918103ccf4c59ffeebf1ac3f13834e.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,130,fb0046f5396fc4731f4dda322433f18c.jpg,0,1,true,3,train,true
fashionpedia,train2020,131,3ae02774f961013f5498e580367a0c34.jpg,0,1,true,3,new_val,false
fashionpedia,train2020,132,c64907f981cdd55f49335084f32b027b.jpg,0,1,true,2,train,true
fashionpedia,train2020,135,f701653e4cac2fc6e5a3fb9baa3591e1.jpg,0,1,true,1,train,true
fashionpedia,train2020,137,06fa3e5101b0e7cbf19d4e031c59aea6.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,140,e01aa0b489bb88ec0c7a7537c7b9ddb0.jpg,0,1,true,2,train,true
fashionpedia,train2020,142,67644215a127f4940898c57b0d0efd4b.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,149,bb8fd8aeb8a6aa2a6cd3682a85b9e3ac.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,153,4ff65e76bbffd7c644e566e0dc293516.jpg,0,1,true,3,train,true
fashionpedia,train2020,156,2058dd138bdc168ec26724df84611edc.jpg,0,1,true,1,train,true
fashionpedia,train2020,163,7afd9c957d49502825be8ab5733f0a6a.jpg,0,1,true,2,train,true
fashionpedia,train2020,167,d36af75bd96eba530a370f837ea223d0.jpg,0,1,true,2,train,true
fashionpedia,train2020,174,ac2053ab6f68f714bfee45c2295b3dd4.jpg,0,1,true,3,new_val,false
fashionpedia,train2020,177,4b1b8876d9d4412d3e9047fae89fe895.jpg,0,1,true,1,train,true
fashionpedia,train2020,178,ce35b8496c3bb2c85089302e1651c23d.jpg,0,1,true,3,train,true
fashionpedia,train2020,184,df1513847f5756eae57b0f429c0cec0f.jpg,0,1,true,2,train,true
fashionpedia,train2020,185,16cb7a9b2a1954a5e39886d1b850a1e8.jpg,0,1,true,3,train,true
fashionpedia,train2020,189,d935f1898b80d3531a538b89970c0320.jpg,0,1,true,3,train,true
fashionpedia,train2020,202,5cda9d200452d4ef827d8526ff4829a9.jpg,0,1,true,1,train,true
fashionpedia,train2020,203,375cdddc3df2667d1c9a0efc3af04741.jpg,0,1,true,1,train,true
fashionpedia,train2020,204,6b61e5dab7f4d938ea282aebd1f9808e.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,205,6ce044f8adb1edb6a290c00855573817.jpg,0,1,true,3,train,true
fashionpedia,train2020,206,ca8efad3a5a4b04c9eb7d378cf4e6723.jpg,0,1,true,1,train,true
fashionpedia,train2020,209,c73c597687b3534e3b4c95a16b5dfaf7.jpg,0,1,true,2,train,true
fashionpedia,train2020,212,9c950cdc756c7387da49d0cff0787d71.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,222,e5794b1e13ca002134f0038e121da459.jpg,0,1,true,1,train,true
fashionpedia,train2020,227,c430bf98979343f1ac6bda368c8f455e.jpg,0,1,true,2,train,true
fashionpedia,train2020,230,eacdcf92221b1c80ed080345482e3d61.jpg,0,1,true,3,train,true
fashionpedia,train2020,232,17195df67f1f125bad9592bf22e5be02.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,233,cbc16a451e87d180604f540c52bcf10c.jpg,0,1,true,3,train,true
fashionpedia,train2020,236,102d4a7b90591a6a2e9b0b1e193be46e.jpg,0,1,true,2,train,true
fashionpedia,train2020,240,3b6151d5d5d83fa5599a8bde2819643f.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,242,e5d13843fc6451dacdd48a28117cbf49.jpg,0,1,true,1,train,true
fashionpedia,train2020,243,e862fff11bd581242e9618556991a15d.jpg,0,1,true,1,train,true
fashionpedia,train2020,245,583a51b6c13121b4018ff8ddc61be2f6.jpg,0,1,true,3,train,true
fashionpedia,train2020,246,ea11c57941afc2136301df744111a0fd.jpg,0,1,true,1,new_val,false
fashionpedia,train2020,247,ffa3ea1e617fc51d9f897c3651d8c58c.jpg,0,1,true,3,train,true
fashionpedia,train2020,248,f9c294bab05e287059da087c0c94470e.jpg,0,1,true,1,train,true
fashionpedia,train2020,250,9f1e705a5685e13cc69656de263e880c.jpg,0,1,true,3,train,true
fashionpedia,train2020,252,d0f134a7936dd9580b9ca6a64279014c.jpg,0,1,true,1,train,true
fashionpedia,train2020,254,52cf9a0ccba820b33f04b0326f83aecd.jpg,0,1,true,2,train,true
fashionpedia,train2020,257,b9e4ceb049d792dbfe50a4d6df15d376.jpg,0,1,true,2,train,true
fashionpedia,train2020,258,41c324169eeb24ed674c12b5ed730434.jpg,0,1,true,2,new_val,false
fashionpedia,train2020,269,9728488d177a083a791c56d97999273a.jpg,0,1,true,0,selected_no_valid_crop,false
fashionpedia,train2020,270,f910f0e7b360f15ea1aace97b2878bad.jpg,0,1,true,2,train,true
fashionpedia,train2020,274,b63e9ca00ba7cbab8ba48e151be9cb9d.jpg,0,1,true,1,train,true
fashionpedia,train2020,282,66bcb9387a04e8b45cf7bd813449d19d.jpg,0,1,true,2,train,true
fashionpedia,train2020,285,ca7ea1603b9c3dc36537e2309aea7e9b.jpg,0,1,true,1,train,true
fashionpedia,train2020,287,af2186a66a20adf06c22a3b2913b5cad.jpg,0,1,true,2,train,true
fashionpedia,train2020,290,d51bdf4541d32a4a984b4f30b00807d2.jpg,0,1,true,1,new_val,false
fashionpedia,train2020,293,3e911dacd5eba2d543547e1f5385ebe0.jpg,0,1,true,1,train,true
fashionpedia,train2020,295,dd9096bc6c0c4833135d82d17b4acf5a.jpg,0,1,true,2,train,true
fashionpedia,train2020,296,2ce4f37608c4fa9317c9f3ac1f48ca75.jpg,0,1,true,2,train,true
fashionpedia,train2020,298,a1623b23425d8e7d38a9508afd4f15ee.jpg,0,1,true,3,train,true
fashionpedia,train2020,310,5a71b2676ad6a490a87782e3d7039afc.jpg,0,1,true,1,train,true
fashionpedia,train2020,311,12baec7f4ad25be3a4fb603eacd9944f.jpg,0,1,true,2,train,true
fashionpedia,train2020,315,61d9c7a5bb32bf978bc882623f512893.jpg,0,1,true,1,train,true
fashionpedia,train2020,316,cdc69aeff25a01a3d9d00aae5135f9d1.jpg,0,1,true,3,train,true
fashionpedia,train2020,318,f8cf1de3af7c123b25a0a7bd451bc047.jpg,0,1,true,1,train,true
fashionpedia,train2020,322,b0f2803d8b0ef7663937ef32d995866f.jpg,0,1,true,3,train,true
fashionpedia,train2020,329,b4594df6d918c3c747d6bd39df10be26.jpg,0,1,true,1,new_val,false
fashionpedia,train2020,338,5ff46c574d5004855b48be942aadf56e.jpg,0,1,true,2,train,true
