dataset,official_split,image_id,original_filename,source_shard,augmentation_round,selected,contributed_labels,selection_score,valid_crop_count,usage_split,used_for_training
fashionpedia,train2020,42,5bc33064dd30da52ce2eee53711fae1d.jpg,0,3,true,category|코트|pattern|체크|silhouette|A라인,4.048,2,train,true
fashionpedia,train2020,45,c04df0898bfb278bcc69647987618f5b.jpg,0,3,true,category|점프수트|pattern|스트라이프,5.898,1,train,true
fashionpedia,train2020,50,3a5205276ec5c2ba1822ea2e6ec67ef7.jpg,0,3,true,detail|프릴·러플|lower_fit|플레어핏,2.653,2,train,true
fashionpedia,train2020,87,4de15769ac8d8e72234625198cb7a8b8.jpg,0,3,true,upper_fit|오버핏|collar|셔츠 칼라,7.733,1,train,true
fashionpedia,train2020,97,a074114bee0bc0a8c6d9ebec0ce0f341.jpg,0,3,true,pattern|스트라이프|sleeve_shape|캡 소매|lower_fit|플레어핏,3.892,2,train,true
fashionpedia,train2020,114,fe98e7f2ec02fbee771a7ea532b0bdf4.jpg,0,3,true,upper_fit|오버핏|silhouette|A라인,7.844,1,train,true
fashionpedia,train2020,117,b9efea801a10759c8ca8879b9d5fe4e2.jpg,0,3,true,detail|리본|silhouette|A라인|detail|플리츠|pattern|플로럴,5.666,2,train,true
fashionpedia,train2020,123,638fff742022c96d6c46cc1aad14ca29.jpg,0,3,true,detail|리본|silhouette|비대칭,2.803,1,train,true
fashionpedia,train2020,125,ec9312fb2483a640d531cb80740c4c9f.jpg,0,3,true,silhouette|A라인|detail|플리츠|sleeve_shape|캡 소매,4.21,2,train,true
fashionpedia,train2020,133,3bae9393bed8bec399f60fde839097dc.jpg,0,3,true,detail|리본|silhouette|X라인|lower_fit|플레어핏,4.109,1,train,true
fashionpedia,train2020,141,505bab9dae018322c5066cbb9b9e289c.jpg,0,3,true,pattern|스트라이프|detail|리본|lower_fit|플레어핏,4.105,1,train,true
fashionpedia,train2020,145,958917f1f2cded4451225750dd58575e.jpg,0,3,true,neckline|홀터넥|silhouette|A라인,6.098,1,train,true
fashionpedia,train2020,152,c72f0ed8458110b9021de55e337e7a87.jpg,0,3,true,neckline|보트넥|silhouette|A라인|pattern|플로럴,4.058,1,train,true
fashionpedia,train2020,161,1778ef2e431def5bb842fd66321232ad.jpg,0,3,true,neckline|보트넥|detail|프릴·러플,2.766,2,train,true
fashionpedia,train2020,183,4f0547a0f0b708de817be1ddedc4651f.jpg,0,3,true,category|베스트,5.835,3,train,true
fashionpedia,train2020,186,96dac1f4cf304d026097b30304596b6e.jpg,0,3,true,detail|프릴·러플|neckline|V넥,2.62,1,train,true
fashionpedia,train2020,195,3ca95c329ba98bee8b2e1768a351cb9e.jpg,0,3,true,upper_fit|오버핏,6.4,2,train,true
fashionpedia,train2020,259,ab10a83366e60996c430d9f43a35f0f1.jpg,0,3,true,silhouette|X라인|lower_length|미디·7부 기장|detail|프릴·러플|pattern|플로럴|lower_fit|플레어핏,6.535,1,train,true
fashionpedia,train2020,260,fc75076b0ed7794d4ade93f2e33f7aa8.jpg,0,3,true,pattern|애니멀,4.8,2,train,true
fashionpedia,train2020,268,5beede43550e86f25fb8bd2d2d8eeadd.jpg,0,3,true,upper_fit|오버핏|neckline|V넥,7.625,1,train,true
fashionpedia,train2020,281,c5041972311d276ed363a49cbc7e5477.jpg,0,3,true,detail|프릴·러플|silhouette|A라인|pattern|플로럴,4.081,1,train,true
fashionpedia,train2020,288,f7bc07b2ca89362972e5bcd73bf8a9df.jpg,0,3,true,pattern|스트라이프|upper_fit|오버핏,7.762,1,train,true
fashionpedia,train2020,294,329e2638a04990f852490d70dee8a6a6.jpg,0,3,true,collar|스탠드 칼라,5.388,2,train,true
fashionpedia,train2020,303,3acd8b9e0a052786b72165afb53d7e54.jpg,0,3,true,category|코트|collar|라펠 칼라|lower_length|무릎 기장|pattern|도트,9.313,2,train,true
fashionpedia,train2020,304,2818b3b4b6299fd60fbd9f4dff9182f9.jpg,0,3,true,upper_fit|오버핏,6.4,2,train,true
fashionpedia,train2020,308,d795132cb51e8484b74afe62850348d8.jpg,0,3,true,detail|프릴·러플|silhouette|A라인|neckline|V넥,4.064,1,train,true
fashionpedia,train2020,309,834185084ba9caf93ee04a15e8770fdb.jpg,0,3,true,pattern|스트라이프|neckline|V넥|sleeve_shape|캡 소매|lower_fit|플레어핏,5.116,2,train,true
fashionpedia,train2020,332,2a104e341af8d3e3ecc29e26e30769f8.jpg,0,3,true,collar|스탠드 칼라,5.388,4,train,true
fashionpedia,train2020,350,a68c2917836c2f2c810b675f87d6eb65.jpg,0,3,true,upper_fit|오버핏,6.4,2,train,true
fashionpedia,train2020,359,a0983b2ff9ff62092a4b8468a49dbaa7.jpg,0,3,true,neckline|보트넥|lower_fit|플레어핏,2.63,1,train,true
fashionpedia,train2020,368,4c6ef00e4987319288b44699a37981bd.jpg,0,3,true,detail|리본|silhouette|비대칭,2.803,1,train,true
fashionpedia,train2020,379,498c2c71611b32130846451cfed0687a.jpg,0,3,true,lower_fit|슬림핏|pattern|카모,15.79,2,train,true
fashionpedia,train2020,387,2bcdbb2cc7b7b342dfbfb2209bfb20ef.jpg,0,3,true,pattern|스트라이프|detail|프릴·러플,2.757,2,train,true
fashionpedia,train2020,389,f5cf2dae5e38fb87e82c99975ef25233.jpg,0,3,true,sleeve_length|7부 소매|lower_fit|와이드핏|pattern|도트,11.69,2,train,true
fashionpedia,train2020,397,09d50ddeb174a386b302e1d58d3ca3ea.jpg,0,3,true,silhouette|X라인|neckline|라운드넥|sleeve_length|7부 소매|lower_length|무릎 기장|pattern|플로럴|lower_fit|플레어핏,11.823,1,train,true
fashionpedia,train2020,409,fe1eba8741b21844ea2ec218b42651cd.jpg,0,3,true,upper_fit|오버핏,6.4,2,train,true
fashionpedia,train2020,425,578f595c72c72b77d8147ae51a95624e.jpg,0,3,true,upper_fit|오버핏,6.4,2,train,true
fashionpedia,train2020,458,085ce7362c99013bb76dad787fb6f895.jpg,0,3,true,pattern|스트라이프|detail|리본,2.846,2,train,true
fashionpedia,train2020,467,9a253f01e2d4a5158c525d2fff6b6fe7.jpg,0,3,true,detail|리본|detail|플리츠,2.979,2,train,true
fashionpedia,train2020,469,70653873dbee61ac7d8678b2335ec860.jpg,0,3,true,detail|리본|detail|프릴·러플|pattern|플로럴,4.121,2,train,true
fashionpedia,train2020,486,fb54db54d6b90a36fd36bf7cb2e61d50.jpg,0,3,true,silhouette|A라인|pattern|애니멀,6.244,1,train,true
fashionpedia,train2020,496,67262e7cc6cc56ade59818de637886fe.jpg,0,3,true,neckline|보트넥|detail|프릴·러플,2.766,1,train,true
