unique_key,dataset,official_split,source_subset,image_id,original_filename,product_id,image_number,source_shard,augmentation_round,crop_count,usage_split,used_for_training,image_id_recovered
fashionpedia::train2020::25,fashionpedia,train2020,,25,97e45101f7235a9e56fa95c5e4980c17.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::28,fashionpedia,train2020,,28,8a20effd8b6ebcaf2b74caa7d35eee41.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::32,fashionpedia,train2020,,32,41f415aa0fc1f81d99cc91dca9a2e56c.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::40,fashionpedia,train2020,,40,ecb4116ed3655dc1d650edfb670dd9d2.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::44,fashionpedia,train2020,,44,1542730152ed7edd9e60883cc8730e57.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::48,fashionpedia,train2020,,48,21c5c122b7545a70509749e7b47778ce.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::60,fashionpedia,train2020,,60,42e3a31d833983c58122273bfec102a8.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::62,fashionpedia,train2020,,62,e6fbe678e393423558815e54e96aa4e4.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::63,fashionpedia,train2020,,63,7195a80781724bbacd54999125fe6d26.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::67,fashionpedia,train2020,,67,f3c00b82c17efd0225952e1e24126dcf.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::68,fashionpedia,train2020,,68,095a29c0297c935f3483a8521bf6e13b.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::70,fashionpedia,train2020,,70,1fd9fccea7c960c56f83f760c04c4685.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::82,fashionpedia,train2020,,82,cfa30df621b92ce96e577bdc675859b0.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::85,fashionpedia,train2020,,85,b8a9290d7ea62cd23a7402a896b1167c.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::89,fashionpedia,train2020,,89,c663df3c229948f7ff004aa452385324.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::90,fashionpedia,train2020,,90,9ce198fc13cc74c97a790f14f00d20b2.jpg,,,0,1,1,new_val,false,true
fashionpedia::train2020::94,fashionpedia,train2020,,94,ed8829cdbfcbea5a1fc069db0c1d4650.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::95,fashionpedia,train2020,,95,0efa0cf779033b2b633eaef5dc2c014b.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::100,fashionpedia,train2020,,100,cbf05a382c2d8b6d7b401dd5b3cbe41a.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::103,fashionpedia,train2020,,103,121e424fcf533cd473fbb5727bc8c815.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::106,fashionpedia,train2020,,106,61c189acdc02fe7c63a47ea27e691acb.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::107,fashionpedia,train2020,,107,357d978b387f7bf658ba03b301a01acc.jpg,,,0,1,2,train,true,true
fashionpedia::train2020::109,fashionpedia,train2020,,109,4eff8c4fb07a48f72755babb91c676fd.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::110,fashionpedia,train2020,,110,6e9ecb3423f76fff2576b25278a877d5.jpg,,,0,1,1,train,true,true
fashionpedia::train2020::115,fashionpedia,train2020,,115,bc3b5d9c9df8497dec8371fe624c65de.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::116,fashionpedia,train2020,,116,45918103ccf4c59ffeebf1ac3f13834e.jpg,,,0,1,2,new_val,false,true
fashionpedia::train2020::130,fashionpedia,train2020,,130,fb0046f5396fc4731f4dda322433f18c.jpg,,,0,1,3,train,true,true
fashionpedia::train2020::131,fashionpedia,train2020,,131,3ae02774f961013f5498e580367a0c34.jpg,,,0,1,3,new_val,false,true
fashionpedia::train2020::132,fashionpedia,train2020,,132,c64907f981cdd55f49335084f32b027b.jpg,,,0,1,2,train,true,true
