product_id,category,coverage,fill,contrast,garment_pixels,name,note
MS6145321,bottom,0.0,0.0,0.0,0,에센셜 패턴 쇼츠-5colors,의류 영역 부족
MS6829636,bottom,0.0,0.0,0.0,0,체크 미니 티어드 원피스_SPOWG38G30,의류 영역 부족
MS6504560,bottom,0.0,0.0,0.0,0,레이스 밴드 레이어드 미디스커트 (6color),의류 영역 부족
MS5193862,bottom,0.0,0.0,0.0,0,Acid Farm Mini Dress Dirty White,의류 영역 부족
MS6150910,bottom,0.0,0.0,0.0,0,퍼프 슬리브 리본 미니 드레스 화이트,의류 영역 부족
MS6753697,bottom,0.0,0.0,0.0,0,FLORAL LINEN SCARF DRESS_WHITE,의류 영역 부족
MS6958000,bottom,0.0,0.0,0.0,0,레이븐 블레이드 레더 패치 원피스,의류 영역 부족
MS6957160,bottom,0.0252,0.7609,218.3,19826,패스트 앤 프리 하프 타이츠 8inch *업데이트 디자인  TRNV TRNV,
MS7066682,bottom,0.0277,0.7639,188.4,21821,레이스 트림 스커트 팬츠 (블랙),
MS6322137,bottom,0.0305,0.7513,19.0,23980,여성 벌룬 스커트_003(10570-152-401-69),
MS6989658,bottom,0.0445,0.7514,205.1,35020,벨트 포인트 A라인 미니 스커트 EMQ7WSK010,
MS7066683,bottom,0.0447,0.6796,36.4,35169,레이스 트림 스커트 팬츠 (핑크),
MS7068106,bottom,0.0468,0.7503,206.3,36769,벨티드 레더 랩 스커트 EMQ8WSK050,
MS5537853,bottom,0.0471,0.8396,229.4,37011,위티 원턱 화이트 스티치 와이드 데님 팬츠,
MS5322326,bottom,0.0491,0.6188,68.8,38613,코튼 플레어 미니 원피스 (WHITE) F26QD062,
MS6388530,top,0.0535,0.543,211.5,42084,Contour Rib Halter Top_Grape,
MS6843814,top,0.0567,0.6068,229.5,44561,네크 변형 저지탑  블랙,
MS6182664,bottom,0.0621,0.5839,162.7,48871,핏티드 셔링 롱 원피스 [CHARCOAL] / GF1LOP506,
MS6843879,top,0.0664,0.6483,89.2,52236,오픈칼라 슬림핏 반팔 셔츠  스카이 블루,
MS6744809,top,0.0698,0.6799,96.8,54924,스포츠웨어 타이트 크롭 탱크 탑 W - 일루전 그린:블랙:메탈릭 실버 / IQ3163-336,
MS4076871,bottom,0.0715,0.5444,213.5,56263,WOMEN 여름 플레어 마몽 주름 미디 롱치마 [BLACK] 롱스커트 ver.,
MS7051102,bottom,0.0772,0.8869,72.8,60677,시퀸장식 미디 스커트  베이지,
MS5895407,bottom,0.0774,0.5625,212.4,60892,[레이 PICK] Sheer layered midi skirt  BLACK,
MS6896803,bottom,0.0775,0.6111,111.2,60923,져지 슬리브리스 원피스  그레이,
